line,movie,character,dialogue
1019,The Return of the King,ARAGORN,"Sons of Gondor, of Rohan, my brothers. (They listen to him.) I see it in     your eyes, the same fear that would take the heart of me. A day may come     when the courage of men fails, when we forsake our friends and break all     bonds of fellowship, but it is not this day! An hour of wolves and shattered     shields when the age of men comes crashing down, but it is not this day!     This day we fight!"
1020,The Return of the King,ARAGORN,"By all that you hold dear on this good earth, I bid you stand! Men of the     West!"
1021,The Return of the King,GIMLI,Never thought I'd die fighting side by side with an elf.
1022,The Two Towers,GANDALF,The veiling shadow that glowers in the east takes shape.Sauron will suffer no rival.From the summit of Barad-durhis Eye watches ceaselessly.But he is not so mighty yetthat he is above fear.Doubt ever gnaws at him.The rumor has reached him.The heir of Numenor still lives.
1023,The Two Towers,ARAGORN,It's the beards.
1024,The Two Towers,GIMLI,"This, in turn, has given riseto the belief......that there are no Dwarf women......and that Dwarves just spring outof holes in the ground..."
1025,The Two Towers,GIMLI,"...which is, of course, ridiculous."
1026,The Two Towers,GIMLI,It's all right. Nobody panic.That was deliberate.It was deliberate.
1027,The Two Towers,THEODEN,I haven't seen my niece smilefor a long time.She was a girl when they broughther father back dead.Cut down by Orcs.She watched her mothersuccumb to grief.
1028,The Two Towers,THEODEN,Then she was left aloneto tend her king in growing fear.Doomed to wait upon an old manwho should have loved her as a father.
1029,The Two Towers,EOWYN,Gimli.?
1030,The Two Towers,GIMLI,"No, I couldn'tI really couldn't."
1031,The Two Towers,GAMLING,Make way for the king.Make way for Theoden.Make way for the king.
1032,The Two Towers,EOWYN,So few. So few of you have returned.
1033,The Two Towers,THEODEN,Our people are safe.We have paid for it with many lives.
1034,The Two Towers,GIMLI,My lady.
1035,The Two Towers,EOWYN,Lord Aragorn......where is he?
1036,The Two Towers,GIMLI,He fell.
1037,The Two Towers,THEODEN,Draw all our forces behind the wall.Bar the gate.And set a watch on the surround.
1038,The Two Towers,GAMLING,"What of those who cannot fight, my lord?The women and children?"
1039,The Two Towers,THEODEN,"Get them into the caves. , Saruman's arm will have grown long indeed if he thinks he can     reach us here."
1040,The Two Towers,GRIMA,Helm's Deep has one weakness.Its outer wall is solid rock......but for a small culvertat its base...... which is little more than a drain.
1041,The Two Towers,GRIMA,How? How can fire undo stone?
1042,The Two Towers,EOWYN,Sssh
1043,The Two Towers,GANDALF,"This is but a taste of the terror that Saruman will unleash.    ,All     the more potent for he is driven now by fear of Sauron. Ride out and meet     him head on. Draw him away from your women and children.    , You must     fight."
1044,The Two Towers,ARAGORN,You have 2000 good men riding north as we speak. Eomer is loyal to you.     His men will return and fight for their king.
1045,The Two Towers,THEODEN,They will be 300     leagues from here by now. Eomer cannot help us. I know what it is you want     of me......but I will not bring further death to my people. I will not risk     open war.
1046,The Two Towers,ARAGORN,"Open war is upon you, whether you would risk it or not."
1047,The Two Towers,THEODEN,"When last I looked......Theoden, not Aragorn, was King of Rohan."
1048,The Two Towers,HAMA,By order of the king......the city must empty. We make for the refuge of     Helm's Deep.
1049,The Two Towers,HAMA,Do not burden yourself with treasures. Take only what provisions you     need.
1050,The Two Towers,GANDALF,Helm's Deep.
1051,The Two Towers,GIMLI,They flee to the mountains when they should stand and fight. Who will     defend them if not their king?
1052,The Two Towers,ARAGORN,He's only doing what he thinks is best for his people. Helm's Deep has     saved them in the past.
1053,The Two Towers,GANDALF,"There is no way out of that ravine. Theoden is walking into a trap. He     thinks he's leading them to safety. What they will get is a massacre.     Theoden has a strong will, but I fear for him. I fear for the survival of     Rohan. , He will need     you before the end,    Aragorn. The people of Rohan will need you. ,The defenses , to hold."
1054,The Return of the King,LEGOLAS,"What about side by side with a friend? ,"
1055,The Return of the King,GIMLI,Aye! I could do that.
1056,The Return of the King,SAM,"Do you remember the Shire Mr Frodo? It will be Spring soon and the orchards     will be in blossom. And the birds will be nesting in the hazel thickets. (He     is crying.) And they will be sowing the summer barley in the lower fields,     (Frodo opens his eyes and looks at him.) and eating the first of the     strawberries and cream. Do you remember the taste of strawberries?"
1057,The Return of the King,FRODO,"No Sam. I can't recall the taste of food, nor the sound of water or the     touch of grass. I'm naked in the dark. There's' there's nothing, no veil     between me and the wheel of fire. ,I can see him with my waking eyes!"
1058,The Return of the King,SAM,"Then let us be rid of it once and for all! Come on Mr Frodo, I can't carry     it for you, but I can carry you! Come on!"
1059,The Return of the King,EYE OF SAURON,"Aragorn! ,     Elessar!"
1060,The Return of the King,ARAGORN,For Frodo.
1061,The Return of the King,SAM,"Look Mr Frodo, a doorway! We're almost there!"
1062,The Return of the King,GOLLUM,"Clever Hobbits to climb so high! ,Mustn't go that way. Mustn't hurt the     precious!"
1063,The Return of the King,FRODO,You swore! You swore on the precious!
1064,The Two Towers,GANDALF,"Sauron fears you, Aragorn.He fears what you may become.And so he'll strike hard and fastat the world of Men.He will use his puppet Sarumanto destroy Rohan.War is coming.Rohan must defend itselfand therein lies our first challenge......for Rohan is weak and ready to fall.    ,The king's mind is enslavedit's an old device of Saruman's.His hold over King Theodenis now very strong.Sauron and Sarumanare tightening the noose.But for all their cunning......we have one advantage. The Ring remains hidden.And that we should seek to destroy it......has not yet enteredtheir darkest dreams. And so the weapon of the enemyis moving towards Mordor......in the hands of a Hobbit.Each day brings it closerto the fires of Mount Doom. We must trust now in Frodo.Everything depends upon speed......and the secrecy of his quest."
1065,The Two Towers,GANDALF,Do not regret your decision to leave him.Frodo must finish this task alone.
1066,The Two Towers,ARAGORN,He's not alone.Sam went with him.
1067,The Two Towers,GANDALF,"Did he?Did he, indeed? Good. Yes, very good."
1068,The Two Towers,GOLLUM,The Black Gate of Mordor.
1069,The Two Towers,SAM,"Oh, save us.My old Gaffer would have a thing or twoto say if he could see us now."
1070,The Two Towers,GOLLUM,Master says to show himthe way into Mordor.So good Smeagol doesmaster says so.
1071,The Two Towers,FRODO,I did.
1072,The Two Towers,SAM,"That's it, then.We can't get past that."
1073,The Two Towers,SAM,Look!The gate.It's opening!I can see a way down.
1074,The Two Towers,FRODO,"Sam, no!"
1075,The Two Towers,EOWYN,"I made some stew.It isn't much, but it's hot."
1076,The Two Towers,ARAGORN,"Thank you. ,It's good."
1077,The Two Towers,EOWYN,Really?
1078,The Two Towers,EOWYN,"My uncle told me a strange thing.He said that you rode to warwith Thengel, my grandfather.But he must be mistaken."
1079,The Two Towers,ARAGORN,King Theoden has a good memory.He was only a small child at the time.
1080,The Two Towers,EOWYN,Then you must be at least 60.
1081,The Two Towers,EOWYN,Seventy?But you cannot be 80!
1082,The Two Towers,ARAGORN,Eighty-seven.
1083,The Two Towers,EOWYN,You are one of the Dunedain.A descendant of Numenorblessed with long life.It was said that your racehad passed into legend.
1084,The Two Towers,ARAGORN,There are few of us left.The Northern Kingdomwas destroyed long ago.
1085,The Two Towers,EOWYN,"I'm sorry. Please, eat."
1086,The Two Towers,PIPPIN,Did we lose him? I think we lost him.
1087,The Two Towers,ORC,I'm going to rip outyour filthy little innards!
1088,The Two Towers,ORC,Come here!
1089,The Two Towers,MERRY,Trees. Climb a tree.
1090,The Two Towers,GRIMA,What kind of devicecould bring down the wall?
1091,The Two Towers,SARUMAN,If the wall is breachedHelm's Deep will fall.
1092,The Two Towers,GRIMA,"Even if it is breached, it would takea number beyond reckoning......thousands, to storm the Keep."
1093,The Two Towers,SARUMAN,Tens of thousands.
1094,The Two Towers,GRIMA,"But, my lord, there is no such force."
1095,The Two Towers,SARUMAN,A new power is rising.Its victory is at hand.
1096,The Two Towers,SARUMAN,This night......the land will be stainedwith the blood of Rohan!March to Helm's Deep!Leave none alive!
1097,The Two Towers,SARUMAN,To war!
1098,The Two Towers,SARUMAN,There will be no dawn for Men.
1099,The Two Towers,PIPPIN,Look. There's smoke to the south.
1100,The Two Towers,TREEBEARD,There is always smoke rising......from lsengard these days.
1101,The Two Towers,MERRY,Isengard?
1102,The Two Towers,TREEBEARD,There was a time......when Saruman would walk in my woods.But now he has a mind of metal......and wheels.He no longer cares for growing things.
1103,The Two Towers,PIPPIN,What is it?
1104,The Return of the King,PIPPIN,The eagles! The eagles are coming!
1105,The Return of the King,SAM,Frodo!
1106,The Return of the King,FRODO,I'm here Sam!
1107,The Return of the King,SAM,Destroy it!
1108,The Return of the King,SAM,Go on! Now! Throw it in the fire!
1109,The Return of the King,SAM,What are you waiting for? Just let it go!
1110,The Return of the King,FRODO,The Ring is mine!
1111,The Return of the King,SAM,No!
1112,The Return of the King,SAM,Nooooooo!
1113,The Return of the King,GOLLUM,"Yeees! , Yeees!    , Precious! My Precious!"
1114,The Two Towers,ARAGORN,They will hold.
1115,The Two Towers,GANDALF,"The Grey Pilgrim.     That's what they used to call me. Three hundred lives of Men I've walked     this earth, and now I have no time. With luck, my search will not be in     vain. ,Look to my coming at first light on the fifth day. At dawn, look to     the east."
1116,The Two Towers,ARAGORN,Go.
1117,The Two Towers,ROHAN STABLEMAN,"That horse is half mad, my lord. There's nothing you can do. Leave him."
1118,The Two Towers,ARAGORN,"F'ste, stille n',     f'ste, stille n'. Lac is drefed, gefr'gon."
1119,The Two Towers,ARAGORN,Hw't nemna' 'e? Hm? Hw't nemna' 'e? (
1120,The Two Towers,EOWYN,His name is Brego. He     was my cousin's horse.
1121,The Two Towers,ARAGORN,"Brego. 'in nama is cynglic. (,)"
1122,The Two Towers,ARAGORN,"Man le trasta, Brego? Man cenich? (,)"
1123,The Two Towers,EOWYN,I have heard of the magic of Elves......but I did not look for it in a     Ranger from the North.You speak as one of their own.
1124,The Two Towers,ARAGORN,I was raised in Rivendell......for a time.Turn this fellow free. He's     seen enough of war.
1125,The Return of the King,LEGOLAS,"Fifteen, sixteen."
1126,The Return of the King,EOWYN,Merry!
1127,The Return of the King,ARAGORN,Legolas!
1128,The Return of the King,LEGOLAS,"Thirty three, thirty four."
1129,The Return of the King,GIMLI,That still only counts as one!
1130,The Return of the King,ORC,"Come on then , come on!"
1131,The Return of the King,THEODEN,"I know your face, Eowyn. ,  My eyes darken."
1132,The Return of the King,EOWYN,"No, no.  I'm going to save you."
1133,The Return of the King,THEODEN,"You already did.  Eowyn, my body is broken.  You have to let me go."
1134,The Return of the King,FRODO,Smeagol promised!
1135,The Return of the King,GOLLUM,Smeagol lied!
1136,The Return of the King,SAM,AAAAAAAAAhhhhhhhhhh!
1137,The Return of the King,GOLLUM,AAAAAHH
1138,The Return of the King,SAM,", Frodo!"
1139,The Two Towers,GOLLUM,Master!
1140,The Two Towers,FRODO,"I do not ask you to come with me, Sam."
1141,The Two Towers,SAM,"I know, Mr. Frodo.I doubt even these Elvish cloakswill hide us in there."
1142,The Two Towers,FRODO,Now!
1143,The Two Towers,GOLLUM,"No!No! No, master!They catch you! They catch you!Don't take it to him.He wants the precious.Always he is looking for it.And the precious is wantingto go back to him.But we mustn't let him have it."
1144,The Two Towers,GOLLUM,"No! , There's another way.More secret. A dark way."
1145,The Two Towers,SAM,Why haven't you spoken of this before?
1146,The Two Towers,GOLLUM,Because master did not ask.
1147,The Two Towers,SAM,He's up to something.
1148,The Two Towers,FRODO,Are you saying there's another wayinto Mordor?
1149,The Two Towers,GOLLUM,Yes. There's a path......and some stairs.And then......a tunnel.
1150,The Two Towers,FRODO,"He's led us this far, Sam."
1151,The Two Towers,SAM,"Mr. Frodo, no."
1152,The Two Towers,FRODO,He's been true to his word.
1153,The Two Towers,SAM,No.
1154,The Return of the King,PIPPIN,Merry!
1155,The Return of the King,PIPPIN,"Merry! ,  Merry it's me.    ,  It's Pippin!"
1156,The Return of the King,MERRY,I knew you'd find me.
1157,The Return of the King,PIPPIN,Yes.
1158,The Return of the King,MERRY,Are you going to leave me?
1159,The Return of the King,PIPPIN,"No Merry, I'm going to look after you."
1160,The Return of the King,GORBAG,"Hands off! That shiny shirt, that's mine!"
1161,The Two Towers,ARGORN,Their pace has quickened.They must have caught our scent.Hurry!
1162,The Two Towers,LEGOLAS,"Come on, Gimli!"
1163,The Two Towers,GIMLI,Three days and nights pursuit.No food. No rest.And no sign of our quarrybut what bare rock can tell.
1164,The Two Towers,ARAGORN,Not idly do the leaves of Lorien fall.
1165,The Two Towers,LEGOLAS,They may yet be alive.
1166,The Two Towers,ARGORN,Less than a day ahead of us. Come.
1167,The Two Towers,LEGOLAS,"Come, Gimli! We're gaining on them!"
1168,The Two Towers,GIMLI,I'm wasted on cross-country.We Dwarves are natural sprinters.Very dangerous over short distances.
1169,The Two Towers,MERRY,He's gone.
1170,The Two Towers,PIPPIN,Merry!
1171,The Two Towers,TREEBEARD,Hooom!
1172,The Two Towers,MERRY,Aaagh!
1173,The Two Towers,ORC,Let's put a maggot hole in your belly!
1174,The Two Towers,PIPPIN,"Run, Merry!"
1175,The Two Towers,TREEBEARD,Little Orcs.
1176,The Two Towers,PIPPIN,"It's talking, Merry.The tree is talking."
1177,The Two Towers,TREEBEARD,Tree?I am no tree!I am an Ent.
1178,The Two Towers,MERRY,A tree-herder.A shepherd of the forest.
1179,The Two Towers,PIPPIN,"Don't talk to it, Merry.Don't encourage it!"
1180,The Two Towers,TREEBEARD,"Treebeard, some call me."
1181,The Two Towers,PIPPIN,And whose side are you on?
1182,The Two Towers,TREEBEARD,Side?I am on nobody's side......because nobody's on my sidelittle Orc.Nobody cares for the woods anymore.
1183,The Two Towers,MERRY,We're not Orcs! We're Hobbits!
1184,The Two Towers,GANDALF VOICE OVER,You cannot pass!
1185,The Two Towers,FRODO VOICE OVER,Gandalf!
1186,The Two Towers,GANDALF VOICE OVER,"I am a servant of the Secret Fire, wielder of the flame of Anor.    Go back to the Shadow.The dark fire will not avail you,flame of Udun!"
1187,The Two Towers,GANDALF,You shall not pass!
1188,The Two Towers,BOROMIR ,No! No!
1189,The Two Towers,FRODO,Gandalf!
1190,The Two Towers,MERRY,It's Saruman's army.The war has started.
1191,The Return of the King,SAM,Give me your hand.
1192,The Return of the King,SAM,Take my hand.
1193,The Return of the King,SAM,"No! , Don't you let go! Don't let go! Reeeaaach!"
1194,The Return of the King,MERRY,"Frodo! ,Frodo!"
1195,The Return of the King,PIPPIN,Frodo.
1196,The Return of the King,FRODO,"It's gone. , It's done."
1197,The Return of the King,SAM,Yes Mr Frodo. It's over now.
1198,The Return of the King,FRODO,I can see the Shire. The Brandywine River. Bag End. Gandalf's fireworks. The     lights on the party tree.
1199,The Return of the King,SAM,"Rosie Cotton dancing. ,     She had ribbons in her hair. If ever I was to marry someone, it would have     been her. , It would've been her."
1200,The Return of the King,FRODO,I'm glad to be with you Samwise Gamgee here at the end of all things.     They hug.
1201,The Return of the King,DENETHOR,"I am steward of the house of An'rion. Thus have I walked, and thus now I will sleep."
1202,The Return of the King,DENETHOR,"Gondor is lost. There is no hope for men. , Why do the fools fly? Better to die sooner than late. For die we must."
1203,The Return of the King,DENETHOR,"No tomb for Denethor and Faramir. No long slow sleep of death embalmed. We shall burn like the heathen Kings of old. , Bring wood and oil."
1204,The Return of the King,GANDALF,Steady! Steady!
1205,The Return of the King,GANDALF,You are soldiers of Gondor. No matter what comes through that gate you will stand your ground.
1206,The Return of the King,GANDALF,"Volley! , Fire!"
1207,The Return of the King,SAM,"Let him go, you filth! Let him go!"
1208,The Return of the King,SAM,"You will not touch him again! , Come on then, finish it!"
1209,The Two Towers,GIMLI,Keep breathing. That's the key.Breathe.
1210,The Two Towers,LEGOLAS,They've run as if the very whipsof their masters were behind them.
1211,The Two Towers,ORC,We're not going no further......until we've had a breather.
1212,The Two Towers,UGLUK,Get a fire going!
1213,The Two Towers,PIPPIN,Merry!Merry!
1214,The Two Towers,MERRY,"I think we might have made a mistakeleaving the Shire, Pippin."
1215,The Two Towers,PIPPIN,What's making that noise?
1216,The Two Towers,MERRY,It's the trees.
1217,The Return of the King,GANDALF,"Peregrin Took my lad, there is a task now to be done.  Another     opportunity for one of the Shire folk to prove their great worth.     , You must not fail me."
1218,The Return of the King,FARAMIR,It's been very quiet across the river.
1219,The Return of the King,MADRIL,"The Orcs are lying low.  The garrison may have moved out.  We've sent     scouts to Cair Andros.  If the Orcs attack from the North, we'll have some     warning."
1220,The Return of the King,GOTHMOG,Quiet.
1221,The Return of the King,SOLDIER,We need 10 more.
1222,The Return of the King,EOWYN,No.
1223,The Return of the King,THEODEN,"I go to my fathers, in whose mighty company; I shall not now feel ashamed."
1224,The Return of the King,THEODEN,Eowyn.
1225,The Return of the King,KING OF THE DEAD,Release us!
1226,The Return of the King,GIMLI,"Bad idea!  Very handy in a tight spot these lads, despite the fact they're dead."
1227,The Return of the King,KING OF THE DEAD,You gave us your word!
1228,The Return of the King,ARAGORN,I hold your oath fulfilled.  Go.  Be at peace.
1229,The Return of the King,PIPPIN,Merry!
1230,The Return of the King,EOMER,Nooooo!
1231,The Return of the King,EOMER,Nooooooo!  Noooooo!
1232,The Two Towers,FRODO,"Lead the way, Smeagol."
1233,The Two Towers,GOLLUM,Good Smeagol always helps.
1234,The Two Towers,MERRY,Hello?Treebeard?Where has he gone?
1235,The Two Towers,PIPPIN,I had the loveliest dream last night.There was this large barrelfull of pipe-weed.And we smoked all of it.And then......you were sick.I'd give anything for a whiff of Old Toby.
1236,The Two Towers,MERRY,Did you hear that?There it is again.Something's not right here.Not right at all.
1237,The Two Towers,MERRY,You just said something...Treeish.
1238,The Two Towers,PIPPIN,"No, I didn't. I was just stretching."
1239,The Two Towers,MERRY,You're taller.
1240,The Two Towers,PIPPIN,Who?
1241,The Two Towers,MERRY,You!
1242,The Two Towers,PIPPIN,Than what?
1243,The Two Towers,MERRY,Than me!
1244,The Two Towers,PIPPIN,I've always been taller than you.
1245,The Two Towers,MERRY,"Pippin, everyone knows I'm the tall one.You're the short one."
1246,The Two Towers,PIPPIN,"Please, Merry.You're what? Three-foot-six? At the most?Whereas me, I'm pushing 3'7"". ,3'8""!"
1247,The Return of the King,SHAGRAT,"It's going to the Great Eye, along with everything else."
1248,The Return of the King,GORBAG,I don't take orders from stinking Morgul-rats!
1249,The Return of the King,SHAGRAT,You touch it and I'll stick this blade in your gut!
1250,The Return of the King,GORBAG,The scum tried to knife me.  Kill him!
1251,The Return of the King,SAM,That's for Frodo!
1252,The Return of the King,SAM,And the Shire!
1253,The Return of the King,SAM,And that's for my old gaffer!
1254,The Return of the King,SHAGRAT,Stop your squealing you dunghill rat!
1255,The Return of the King,SHAGRAT,I'm gonna bleed you like a stuck pig!
1256,The Return of the King,SAM,Not if I stick you first!
1257,The Return of the King,FRODO,Sam!
1258,The Return of the King,FRODO,"Oh Sam, I'm so sorry.  Sorry for everything."
1259,The Return of the King,SAM,Let's get you out of here.
1260,The Two Towers,ARAGORN,Rohan.Home of the Horse-lords.There's something strange at work here.Some evil gives speedto these creatures.Sets its will against us.
1261,The Two Towers,ARAGORN,Legolas! What do your Elf-eyes see?
1262,The Two Towers,LEGOLAS,The Uruks turn northeast.They are taking the Hobbits to lsengard.
1263,The Two Towers,ARAGORN,Saruman.
1264,The Two Towers,SARUMAN VOICE OVER,The world is changing.Who now has the strength to standagainst the armies of Isengard......and Mordor?To stand against the might of Sauronand Saruman......and the union of the two towers?
1265,The Two Towers,SARUMAN VOICE OVER,"Together, my Lord Sauron...... we shall rule this Middle-earth."
1266,The Two Towers,SARUMAN VOICE OVER ,The Old World will burnin the fires of industry.The forests will fall.A new order will rise.We will drive the machine of warwith the sword and the spear...... and the iron fists of the Orc. We have only     to remove those who oppose us.
1267,The Two Towers,SARUMAN,I want them armed and ready to marchwithin two weeks!
1268,The Two Towers,ORC,"But, my lord, there are too many!They cannot all be armed in timewe don't have the means."
1269,The Two Towers,SARUMAN,"Build a dam, block the streamwork the furnaces night and day."
1270,The Two Towers,ORC,We don't have enough fuelto feed the fires.
1271,The Two Towers,TREEBEARD,"Hobbits?Never heard of a Hobbit before.Sounds like Orc mischief to me! ,They come with fire.They come with axes.Gnawing, biting, breakinghacking, burning! Destroyers and usurpers! Curse them!"
1272,The Two Towers,MERRY,No!You don't understand. We're Hobbits!Halflings!Shire-folk!
1273,The Two Towers,TREEBEARD,Maybe you are......and maybe you aren't.The White Wizard will know.
1274,The Two Towers,PIPPIN,The White Wizard?
1275,The Two Towers,MERRY,Saruman.
1276,The Two Towers,GOLLUM,"See? See?We've led you out.Hurry, Hobbitses. Hurry! Very lucky we find you.    ,Nice Hobbit."
1277,The Two Towers,SAM,It's a bog. He's led us into a swamp.
1278,The Two Towers,GOLLUM,"A swamp, yes, yes.Come, master. We will take youon safe paths through the mist.Come, Hobbits! Come! We go quickly. ,I found it. I did.The way through the marshes.Orcs don't use it.Orcs don't know it.They go around for miles and miles.Come quickly.Soft and quick as shadows we must be."
1279,The Two Towers,SAM,I hate this place. It's too quiet.There's been no sight nor soundof a bird for two days.
1280,The Two Towers,GOLLUM,"No, no birdses to eat.No crunchable birdses.We are famished! Yes!Famished we are, precious!"
1281,The Two Towers,FRODO,Here.
1282,The Two Towers,GOLLUM,"What does it eats?Is it tasty? ,It tries to chokes us!We can't eats Hobbit food!We must starve!"
1283,The Two Towers,SAM,"Well, starve, then. And good riddance!"
1284,The Two Towers,GOLLUM,"Oh, cruel Hobbit.It does not care if we be hungry.Does not care if we should die. ,Not like master.Master cares.Master knows.Yes.Precious.Once it takes hold of us......it never lets go."
1285,The Two Towers,FRODO,Don't touch me!
1286,The Two Towers,GANDALF,"Fly, you fools!"
1287,The Two Towers,FRODO ,No!Gandalf!
1288,The Two Towers,FRODO,Gandalf!
1289,The Two Towers,SAM,"What is it, Mr. Frodo?"
1290,The Two Towers,FRODO,Nothing.Just a dream.
1291,The Two Towers,SAM,Can you see the bottom?
1292,The Two Towers,FRODO,"No! Don't look down, Sam!Just keep going!"
1293,The Two Towers,SAM,"Catch it! Grab it, Mr. Frodo!"
1294,The Two Towers,SAM,Mr. Frodo!
1295,The Two Towers,FRODO,I think I've found the bottom.
1296,The Two Towers,SAM,Bogs and ropeand goodness knows what.It's not natural. None of it.
1297,The Two Towers,FRODO,What's in this?
1298,The Two Towers,SAM,Nothing.Just a bit of seasoning.I thought maybe if we was havinga roast chicken one night or something.
1299,The Two Towers,FRODO,Roast chicken?!
1300,The Return of the King,SAM,Back!
1301,The Return of the King,SAM,Mr Frodo!
1302,The Return of the King,SAM,"Oh no! Frodo, Mr Frodo. , Wake up. Don't leave me here     alone. Don't go where I can't follow. Wake up. Not asleep. Dead."
1303,The Return of the King,SHAGRAT,You get back you scum!
1304,The Return of the King,SHAGRAT,What's this?
1305,The Return of the King,ORC,Killed another one has she?
1306,The Return of the King,SHAGRAT,"No. , This fellow ain't dead."
1307,The Return of the King,SAM,", Not dead."
1308,The Return of the King,SHAGRAT,She jabs him with her stinger and he goes as limp as a boned fish aaa' then she has her way with them. That's how she likes to feed. Fresh blood. Get him to the Tower!
1309,The Return of the King,SAM,Samwise you fool.
1310,The Return of the King,ORC,This scum will be awake in a couple of hours.
1311,The Return of the King,SHAGRAT,Then he'll wish he'd never been born.
1312,The Return of the King,DENETHOR,"The house of his spirit crumbles., He is burning. Already burning."
1313,The Two Towers,PIPPIN,What?
1314,The Two Towers,MERRY,You remember the Old Foreston the borders of Buckland?Folk used to say there was something inthe water that made the trees grow tall......and come alive.
1315,The Two Towers,PIPPIN,Alive?
1316,The Two Towers,MERRY,Trees that could whisper......talk to each other......even move.
1317,The Two Towers,URUK-HAI,I'm starving.We ain't had nothing but maggoty breadfor three stinking days.
1318,The Two Towers,SNAGA,"Yeah!Why can't we have some meat?! ,What about them?They're fresh."
1319,The Two Towers,UGLUK,They are not for eating.
1320,The Two Towers,GRISHNAKH,What about their legs?They don't need those.
1321,The Two Towers,GRISHNAKH,They look tasty.
1322,The Two Towers,UGLUK,"Get back, scum!The prisoners go to Saruman.Alive and unspoiled."
1323,The Two Towers,GRISHNAKH,"Alive? ,Why alive?Do they give good sport?"
1324,The Two Towers,UGLUK,They have something.An Elvish weapon.The master wants it for the war.
1325,The Two Towers,PIPPIN,They think we have the Ring.
1326,The Two Towers,MERRY,Ssh!As soon as they find out we don'twe're dead.
1327,The Return of the King,GOTHMOG,Kill him.
1328,The Return of the King,FARAMIR,"They're not coming from the North!  To the river quick, quick!"
1329,The Return of the King,DAMROD,"Go,  come on!"
1330,The Return of the King,GOTHMOG,"Faster!  ,      Draw swords."
1331,The Return of the King,SOLDIER,Hold!  Hold them!
1332,The Return of the King,SOLDIER,What?
1333,The Return of the King,GANDALF,Amon D'n.
1334,The Return of the King,SOLDIER,The beacon!  The beacon of Amon D'n is lit.
1335,The Return of the King,GANDALF,Hope is kindled!
1336,The Return of the King,ARAGORN,The beacons of Minas Tirith!  The beacons are lit!
1337,The Return of the King,ARAGORN,Gondor calls for aid.
1338,The Return of the King,THEODEN,"And Rohan will answer!  Muster the Rohirrim.  ,      Assemble the army at Dunharrow,  as many men as can be found.  You have two     days. ,  On the third, we ride for Gondor' and     war."
1339,The Return of the King,EOMER,Forward!
1340,The Two Towers,MERRY,Three-foot-eight.You did something.
1341,The Two Towers,PIPPIN,"Merry, don't! Don't drink it!"
1342,The Two Towers,PIPPIN,"Merry!No, Treebeard said that youshouldn't have any."
1343,The Two Towers,MERRY,I want some!
1344,The Two Towers,PIPPIN,lt could well be dangerous!
1345,The Two Towers,PIPPIN,Give me it back. Merry!
1346,The Two Towers,PIPPIN,What's happening?!
1347,The Two Towers,MERRY,Aaagh!It's got my leg!
1348,The Two Towers,PIPPIN,Merry!
1349,The Two Towers,MERRY and PIPPIN,Help!
1350,The Two Towers,TREEBEARD,Away with you.You should not be waking.Eat earth. Dig deep. Drink water.
1351,The Two Towers,TREEBEARD,"Go to sleep.Away with you. ,Come, the forest is waking up."
1352,The Two Towers,TREEBEARD,It isn't safe.The trees have grown wildand dangerous.Anger festers in their hearts.Black are their thoughts.Strong is their hate.They will harm you if they can.There are too few of us now.Too few of us Ents left to manage them.
1353,The Return of the King,FRODO,"It's too late.  It's over.  They've taken it Sam,  they took the Ring!"
1354,The Return of the King,SAM,Begging your pardon but they haven't.
1355,The Return of the King,SAM,"I thought I'd lost you.  So I took it, only for safekeeping."
1356,The Return of the King,FRODO,"Give it to me! ,  Give me the Ring Sam.    ,  Sam!  Give me the Ring.    ,  You must understand.  The Ring is my burden.  It will destroy you Sam."
1357,The Return of the King,SAM,Come on Mr Frodo.  We'd best find you some clothes.  You can't go walking through Mordor in nowt but your skin.
1358,The Return of the King,SAM,We did it Mr Frodo.  We made it to Mordor.
1359,The Return of the King,FRODO,There are so many of them.  We'll never get through unseen.
1360,The Return of the King,FRODO,"It's Him, the Eye!"
1361,The Return of the King,SAM,"We have to go in there Mr Frodo.  There's nothing for it. ,  Come on let's just make it down the hill for starters."
1362,The Return of the King,GANDALF,"Frodo has passed beyond my sight. ,  The darkness is deepening."
1363,The Return of the King,ARAGORN,If Sauron had the Ring we would know it.
1364,The Return of the King,GANDALF,"It's only a matter of time.  He has suffered a defeat, yes, but behind the walls of Mordor our enemy is regrouping."
1365,The Return of the King,GIMLI,Let him stay there!  Let him rot!  Why should we care?
1366,The Return of the King,GANDALF,"Because 10,000 Orcs now stand between Frodo and Mount Doom."
1367,The Two Towers,SARUMAN,The Forest of Fangornlies on our doorstep. Burn it.
1368,The Two Towers,ORC,Yes.
1369,The Two Towers,WILDMAN,We will fight for you.
1370,The Two Towers,SARUMAN,Swear it.
1371,The Two Towers,WILDMAN,We will die for Saruman.
1372,The Two Towers,SARUMAN,The Horse-Men took your lands.They drove your people into the hillsto scratch a living off rocks.
1373,The Two Towers,WILDMAN,Murderers!
1374,The Two Towers,SARUMAN,Take back the lands they stole from you.Burn every village!
1375,The Two Towers,SARUMAN VOICE OVER,We have only to remove thosewho oppose us.It will begin in Rohan.Too long have these peasantsstood against you.But no more.
1376,The Two Towers,MORWEN,Eothain! Eothain!You take your sister.You'll go faster with just two.
1377,The Two Towers,MORWEN,Listen to me. You must ride to Edorasand raise the alarm. Do you understand me?
